
Episode 212 | Reward: -9.17 | Steps: 2400
Episode 213 | Reward: -31.22 | Steps: 2415
Episode 214 | Reward: -11.18 | Steps: 2416
Episode 215 | Reward: -10.18 | Steps: 2419
Episode 216 | Reward: -34.22 | Steps: 2434
Episode 217 | Reward: -16.21 | Steps: 2445
Episode 218 | Reward: -26.24 | Steps: 2457
Episode 219 | Reward: -30.22 | Steps: 2472
Episode 220 | Reward: -28.21 | Steps: 2487
Episode 221 | Reward: -47.23 | Steps: 2502
Episode 222 | Reward: -22.20 | Steps: 2517
Episode 223 | Reward: -13.14 | Steps: 2521
Episode 224 | Reward: -26.18 | Steps: 2536
Episode 225 | Reward: -9.15 | Steps: 2550
Episode 226 | Reward: -17.18 | Steps: 2561
Episode 227 | Reward: -12.18 | Steps: 2571
Episode 228 | Reward: -22.17 | Steps: 2586
Episode 229 | Reward: -6.19 | Steps: 2587
Episode 230 | Reward: -19.19 | Steps: 2597
Episode 231 | Reward: -30.23 | Steps: 2612
Episode 232 | Reward: -17.18 | Steps: 2618
Episode 233 | Reward: -27.18 | Steps: 2633
Episode 234 | Reward: -22.16 | Steps: 2648
Episode 235 | Reward: -12.16 | Steps: 2651
Episode 236 | Reward: -22.22 | Steps: 2665
Episode 237 | Reward: -15.16 | Steps: 2677
Episode 238 | Reward: -21.21 | Steps: 2692
Episode 239 | Reward: -18.12 | Steps: 2695
Episode 240 | Reward: -17.22 | Steps: 2702
Episode 241 | Reward: -20.18 | Steps: 2708
Episode 242 | Reward: -31.21 | Steps: 2723
Episode 243 | Reward: -10.13 | Steps: 2725
Episode 244 | Reward: -29.18 | Steps: 2740
Episode 245 | Reward: -18.25 | Steps: 2755
Episode 246 | Reward: -25.17 | Steps: 2770
Episode 247 | Reward: -18.16 | Steps: 2785
Episode 248 | Reward: -15.18 | Steps: 2791
Episode 249 | Reward: -29.17 | Steps: 2806
Episode 250 | Reward: -22.19 | Steps: 2820
Episode 251 | Reward: -34.20 | Steps: 2835
Episode 252 | Reward: -12.13 | Steps: 2838
Episode 253 | Reward: -19.30 | Steps: 2847
Episode 254 | Reward: -8.19 | Steps: 2860
Episode 255 | Reward: -10.19 | Steps: 2864
Episode 256 | Reward: -24.15 | Steps: 2879
Episode 257 | Reward: -17.18 | Steps: 2881
Episode 258 | Reward: -31.14 | Steps: 2896
Episode 259 | Reward: -10.16 | Steps: 2900
Episode 260 | Reward: -13.21 | Steps: 2908
Episode 261 | Reward: -29.19 | Steps: 2923
Episode 262 | Reward: -17.11 | Steps: 2933
Episode 263 | Reward: -26.23 | Steps: 2943
Episode 264 | Reward: -5.21 | Steps: 2944
Episode 265 | Reward: -31.19 | Steps: 2959
Episode 266 | Reward: -27.18 | Steps: 2974
Episode 267 | Reward: -12.17 | Steps: 2981
Episode 268 | Reward: -17.18 | Steps: 2993
Episode 269 | Reward: -13.16 | Steps: 2995
Episode 270 | Reward: -35.24 | Steps: 3010
Episode 271 | Reward: -27.20 | Steps: 3025
Episode 272 | Reward: -42.21 | Steps: 3040
Episode 273 | Reward: -12.14 | Steps: 3044
Episode 274 | Reward: -14.14 | Steps: 3049
Episode 275 | Reward: -26.19 | Steps: 3064
Episode 276 | Reward: -23.17 | Steps: 3078
Episode 277 | Reward: -18.12 | Steps: 3093
Episode 278 | Reward: -11.16 | Steps: 3097
Episode 279 | Reward: -25.26 | Steps: 3112
Episode 280 | Reward: -28.20 | Steps: 3127
Episode 281 | Reward: -24.36 | Steps: 3142
Episode 282 | Reward: -8.13 | Steps: 3143
Episode 283 | Reward: -19.23 | Steps: 3152
Episode 284 | Reward: -38.18 | Steps: 3167
Episode 285 | Reward: -7.18 | Steps: 3168
Episode 286 | Reward: -22.19 | Steps: 3183
Episode 287 | Reward: -16.26 | Steps: 3192
Episode 288 | Reward: -28.20 | Steps: 3207
Episode 289 | Reward: -35.19 | Steps: 3222
Episode 290 | Reward: -17.19 | Steps: 3225
Episode 291 | Reward: -27.21 | Steps: 3240
Episode 292 | Reward: -36.19 | Steps: 3255
Episode 293 | Reward: -33.21 | Steps: 3270
Episode 294 | Reward: -16.29 | Steps: 3281
Episode 295 | Reward: -28.13 | Steps: 3296
Episode 296 | Reward: -9.15 | Steps: 3299
Episode 297 | Reward: -16.24 | Steps: 3313
Episode 298 | Reward: -25.24 | Steps: 3327
Episode 299 | Reward: -17.18 | Steps: 3339
Episode 300 | Reward: -14.14 | Steps: 3350
Saving models to checkpoints/sac_checkpoint_clutter_300.pth
Episode 301 | Reward: -27.14 | Steps: 3360
Episode 302 | Reward: -24.18 | Steps: 3375
Episode 303 | Reward: -34.22 | Steps: 3390
Episode 304 | Reward: -35.17 | Steps: 3405
Episode 305 | Reward: -13.17 | Steps: 3406
Episode 306 | Reward: -37.24 | Steps: 3421
Episode 307 | Reward: -10.29 | Steps: 3431
Episode 308 | Reward: -26.28 | Steps: 3446
Episode 309 | Reward: -22.14 | Steps: 3461
Episode 310 | Reward: -7.11 | Steps: 3463
Episode 311 | Reward: -31.16 | Steps: 3478
Episode 312 | Reward: -13.16 | Steps: 3485
Episode 313 | Reward: -13.16 | Steps: 3489
Episode 314 | Reward: -13.23 | Steps: 3503
Episode 315 | Reward: -20.20 | Steps: 3510
Episode 316 | Reward: -13.25 | Steps: 3520
Episode 317 | Reward: -43.22 | Steps: 3535
Episode 318 | Reward: -23.26 | Steps: 3550
Episode 319 | Reward: -27.18 | Steps: 3554
Episode 320 | Reward: -31.22 | Steps: 3569
Episode 321 | Reward: -11.20 | Steps: 3574
Episode 322 | Reward: -9.19 | Steps: 3575
Episode 323 | Reward: -23.21 | Steps: 3586
Episode 324 | Reward: -15.20 | Steps: 3589
Episode 325 | Reward: -16.11 | Steps: 3591
Episode 326 | Reward: -23.13 | Steps: 3606
Episode 327 | Reward: -27.18 | Steps: 3621
Episode 328 | Reward: -30.23 | Steps: 3636
Episode 329 | Reward: -21.16 | Steps: 3638
Episode 330 | Reward: -19.20 | Steps: 3652
Episode 331 | Reward: -14.14 | Steps: 3666
Episode 332 | Reward: -18.20 | Steps: 3673
Episode 333 | Reward: -7.38 | Steps: 3676
Episode 334 | Reward: -36.21 | Steps: 3691
Episode 335 | Reward: -17.18 | Steps: 3693
Episode 336 | Reward: -29.17 | Steps: 3708
Episode 337 | Reward: -16.19 | Steps: 3714
Episode 338 | Reward: -34.22 | Steps: 3729
Episode 339 | Reward: -21.18 | Steps: 3744
Episode 340 | Reward: -17.24 | Steps: 3759
Episode 341 | Reward: -11.19 | Steps: 3763
Episode 342 | Reward: -33.17 | Steps: 3778
Episode 343 | Reward: -11.22 | Steps: 3781
Episode 344 | Reward: -21.18 | Steps: 3796
Episode 345 | Reward: -32.22 | Steps: 3811
Episode 346 | Reward: -13.16 | Steps: 3814
Episode 347 | Reward: -24.23 | Steps: 3828
Episode 348 | Reward: -13.16 | Steps: 3839
Episode 349 | Reward: -33.25 | Steps: 3854
Episode 350 | Reward: -30.20 | Steps: 3869
Episode 351 | Reward: -18.21 | Steps: 3880
Episode 352 | Reward: -16.27 | Steps: 3887
Episode 353 | Reward: -10.19 | Steps: 3889
Episode 354 | Reward: -25.20 | Steps: 3904
Episode 355 | Reward: -20.14 | Steps: 3917
Episode 356 | Reward: -31.21 | Steps: 3932
Episode 357 | Reward: -35.18 | Steps: 3947
Episode 358 | Reward: -37.23 | Steps: 3962
Episode 359 | Reward: -25.25 | Steps: 3977
Episode 360 | Reward: -15.25 | Steps: 3986
Episode 361 | Reward: -14.13 | Steps: 4001
Episode 362 | Reward: -15.13 | Steps: 4010
Episode 363 | Reward: -16.24 | Steps: 4023
Episode 364 | Reward: -26.17 | Steps: 4038
Episode 365 | Reward: -37.18 | Steps: 4053
Episode 366 | Reward: -19.15 | Steps: 4065
Episode 367 | Reward: -38.18 | Steps: 4080
Episode 368 | Reward: -31.25 | Steps: 4095
Episode 369 | Reward: -13.19 | Steps: 4103
Episode 370 | Reward: -16.22 | Steps: 4117
Episode 371 | Reward: -11.14 | Steps: 4131
Episode 372 | Reward: -21.19 | Steps: 4146
Episode 373 | Reward: -17.27 | Steps: 4157
Episode 374 | Reward: -33.16 | Steps: 4172
Episode 375 | Reward: -27.23 | Steps: 4187
Episode 376 | Reward: -29.31 | Steps: 4202
Episode 377 | Reward: -31.14 | Steps: 4217
Episode 378 | Reward: -29.20 | Steps: 4232
Episode 379 | Reward: -30.28 | Steps: 4247
Episode 380 | Reward: -31.19 | Steps: 4262
Episode 381 | Reward: -16.20 | Steps: 4274
Episode 382 | Reward: -13.18 | Steps: 4275
Episode 383 | Reward: -25.21 | Steps: 4290
Episode 384 | Reward: -25.21 | Steps: 4305
Episode 385 | Reward: -23.18 | Steps: 4320
Episode 386 | Reward: -9.23 | Steps: 4328
Episode 387 | Reward: -28.27 | Steps: 4343
Episode 388 | Reward: -24.21 | Steps: 4358
Episode 389 | Reward: -34.17 | Steps: 4373
Episode 390 | Reward: -25.26 | Steps: 4388
Episode 391 | Reward: -22.15 | Steps: 4403
Episode 392 | Reward: -21.21 | Steps: 4418
Episode 393 | Reward: -17.18 | Steps: 4422
Episode 394 | Reward: -21.21 | Steps: 4437
Episode 395 | Reward: -14.13 | Steps: 4444
Episode 396 | Reward: -24.22 | Steps: 4453
Episode 397 | Reward: -10.20 | Steps: 4455
Episode 398 | Reward: -25.29 | Steps: 4470
Episode 399 | Reward: -21.22 | Steps: 4474
Episode 400 | Reward: -31.19 | Steps: 4489
Saving models to checkpoints/sac_checkpoint_clutter_400.pth
Episode 401 | Reward: -20.24 | Steps: 4493
Episode 402 | Reward: -36.18 | Steps: 4508
Episode 403 | Reward: -15.14 | Steps: 4509
Episode 404 | Reward: -29.13 | Steps: 4524
Episode 405 | Reward: -12.13 | Steps: 4529
Episode 406 | Reward: -19.12 | Steps: 4544
Episode 407 | Reward: -7.15 | Steps: 4546
Episode 408 | Reward: -32.23 | Steps: 4561
Episode 409 | Reward: -32.16 | Steps: 4576
Episode 410 | Reward: -30.29 | Steps: 4591
Episode 411 | Reward: -29.18 | Steps: 4606
Episode 412 | Reward: -30.26 | Steps: 4621
Episode 413 | Reward: -18.16 | Steps: 4636
Episode 414 | Reward: -15.18 | Steps: 4638
Episode 415 | Reward: -19.18 | Steps: 4653
Episode 416 | Reward: -27.16 | Steps: 4668
Episode 417 | Reward: -31.16 | Steps: 4683
Episode 418 | Reward: -27.15 | Steps: 4693
Episode 419 | Reward: -23.17 | Steps: 4708
Episode 420 | Reward: -10.13 | Steps: 4709
Episode 421 | Reward: -26.23 | Steps: 4724
Episode 422 | Reward: -29.21 | Steps: 4739
Episode 423 | Reward: -23.20 | Steps: 4749
Episode 424 | Reward: -12.14 | Steps: 4751
Episode 425 | Reward: -30.18 | Steps: 4766
Episode 426 | Reward: -41.22 | Steps: 4781
Episode 427 | Reward: -13.17 | Steps: 4782
Episode 428 | Reward: -29.21 | Steps: 4797
Episode 429 | Reward: -28.18 | Steps: 4808
Episode 430 | Reward: -13.12 | Steps: 4813
Episode 431 | Reward: -35.30 | Steps: 4828
Episode 432 | Reward: -22.20 | Steps: 4839
Episode 433 | Reward: -17.21 | Steps: 4842
Episode 434 | Reward: -17.19 | Steps: 4844
Episode 435 | Reward: -38.19 | Steps: 4859
Episode 436 | Reward: -43.25 | Steps: 4874
Episode 437 | Reward: -36.25 | Steps: 4889
Episode 438 | Reward: -13.19 | Steps: 4898
Episode 439 | Reward: -14.28 | Steps: 4907
Episode 440 | Reward: -22.13 | Steps: 4922
Episode 441 | Reward: -16.17 | Steps: 4934
Episode 442 | Reward: -25.22 | Steps: 4949
Episode 443 | Reward: -21.10 | Steps: 4960
Episode 444 | Reward: -16.19 | Steps: 4964
Episode 445 | Reward: -33.19 | Steps: 4979
Episode 446 | Reward: -31.15 | Steps: 4994
Episode 447 | Reward: -23.22 | Steps: 5006
Episode 448 | Reward: -14.18 | Steps: 5020
